City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
363,Tigil,RU,57.8,158.6667,67.66,42,52,6.89,broken clouds
364,Macenta,GN,8.5435,-9.471,68.2,99,95,1.59,overcast clouds
365,Borogontsy,RU,62.6683,131.1683,73.51,54,4,4.43,clear sky
366,Nanortalik,GL,60.1432,-45.2371,43.84,90,96,9.78,overcast clouds
367,Wilmington Island,US,32.0036,-80.9737,87.1,68,0,11.5,clear sky
368,Omsukchan,RU,62.5333,155.8,59.32,48,0,9.04,clear sky
369,Acapulco,MX,16.8634,-99.8901,84.34,75,94,5.32,overcast clouds
370,Leningradskiy,RU,69.3833,178.4167,34.68,94,100,5.91,overcast clouds
371,Verkhoyansk,RU,67.5447,133.385,58.39,93,100,2.84,light rain
372,Nanpiao,CN,41.0982,120.7479,73.71,77,0,4.03,clear sky
373,Hovd,MN,48.0056,91.6419,61.75,41,4,2.35,clear sky
374,Tiznit,MA,29.5833,-9.5,86.67,25,89,1.95,overcast clouds
375,Kodinsk,RU,58.6881,99.1844,57.4,91,93,7.56,overcast clouds
376,Naze,JP,28.3667,129.4833,83.32,66,100,0.85,overcast clouds
377,Guapiacu,BR,-20.795,-49.2203,80.89,28,0,4.61,clear sky
378,Talcahuano,CL,-36.7167,-73.1167,53.28,100,100,13.8,light intensity drizzle
379,Mount Gambier,AU,-37.8333,140.7667,49.91,100,100,11.5,overcast clouds
380,Gweta,BW,-20.1833,25.2333,63.68,39,80,8.7,broken clouds
381,Grindavik,IS,63.8424,-22.4338,49.95,93,100,8.05,overcast clouds
382,Roma,US,43.2128,-75.4557,84.96,59,0,4.61,clear sky
383,San Jeronimo,PE,-11.9472,-75.2829,51.31,69,63,3.27,broken clouds
384,Abasolo,MX,20.45,-101.5167,75.78,44,60,8.3,broken clouds
385,Ust-Nera,RU,64.5667,143.2,67.14,72,98,8.75,overcast clouds
386,Kokopo,PG,-4.352,152.2633,85.3,62,22,14.67,few clouds
387,Lamesa,US,32.7376,-101.951,98.53,23,52,9.31,broken clouds
388,Arica,CL,-18.475,-70.3042,61.03,72,100,5.75,overcast clouds
389,Ereymentau,KZ,51.6199,73.1033,57.74,86,22,6.82,few clouds
390,Ocean Springs,US,30.4113,-88.8278,89.02,69,0,9.22,clear sky
391,Boksitogorsk,RU,59.474,33.8485,63.61,98,75,4.32,broken clouds
392,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,73.04,98,93,1.07,overcast clouds
393,Toshkivka,UA,48.7791,38.579,59.27,92,26,7.05,scattered clouds
394,Hasaki,JP,35.7333,140.8333,82.29,77,100,11.83,overcast clouds
395,Yerbogachen,RU,61.2767,108.0108,69.06,83,69,8.14,broken clouds
396,Marsh Harbour,BS,26.5412,-77.0636,82.76,72,0,12.26,clear sky
397,Larsnes,NO,62.2028,5.5773,59.41,87,100,1.48,overcast clouds
398,Thinadhoo,MV,0.5333,72.9333,81.54,73,100,6.4,overcast clouds
399,Karasjok,NO,69.4719,25.5112,46.2,85,55,5.26,broken clouds
400,Kysyl-Syr,RU,63.8986,122.7617,71.1,67,0,6.29,clear sky
401,Ekpoma,NG,6.7421,6.139,68.52,99,100,2.71,overcast clouds
402,Te Anau,NZ,-45.4167,167.7167,44.89,81,56,0.83,broken clouds
403,Belen,TR,36.4891,36.2233,71.74,69,0,12.66,clear sky
404,Shahrud,IR,36.4182,54.9763,70.03,61,0,9.06,clear sky
405,Kismayo,SO,-0.3582,42.5454,75.09,79,22,19.71,few clouds
406,Macieira De Cambra,PT,40.8594,-8.3734,64.18,73,0,1.97,clear sky
407,Lata,PT,40.1629,-8.3327,58.8,83,0,0.69,clear sky
408,Tastur,TN,36.5513,9.4431,80.02,53,0,2.55,clear sky
409,Gurupi,BR,-11.7292,-49.0686,78.22,32,84,5.12,broken clouds
410,Klaksvik,FO,62.2266,-6.589,50.92,92,98,20.47,overcast clouds
411,Andili,PH,7.462,125.9701,79.61,85,100,1.32,overcast clouds
412,Alta Floresta,BR,-9.8756,-56.0861,76.35,37,3,3.91,clear sky
413,Lulea,SE,65.5842,22.1547,57.27,72,40,5.75,scattered clouds
414,Kawalu,ID,-7.3817,108.2082,72.14,97,98,2.08,overcast clouds
415,Wanning,CN,18.8003,110.3967,81.75,79,0,3.87,clear sky
416,Bambui,BR,-20.0064,-45.9769,65.1,50,12,2.46,few clouds
417,Invermere,CA,50.5167,-116.0354,83.35,28,86,3.71,overcast clouds
418,Poronaysk,RU,49.2167,143.1167,57.83,98,100,2.3,heavy intensity rain
419,Rzhaksa,RU,52.1338,42.0264,58.59,92,58,7.09,broken clouds
420,Novonukutskiy,RU,53.7002,102.7117,60.24,83,68,8.3,broken clouds
421,Simbahan,PH,6.3032,120.5836,83.08,75,78,7.72,broken clouds
422,Katsuura,JP,35.1333,140.3,81.16,77,98,12.95,overcast clouds
423,Anuradhapura,LK,8.3565,80.4173,76.55,86,98,11.12,overcast clouds
424,Endicott,US,42.0984,-76.0494,80.51,81,100,10.36,heavy intensity rain
425,Pilar,BR,-9.5972,-35.9567,75.13,94,70,4.63,broken clouds
426,Honghu,CN,29.8206,113.4621,79.63,82,15,3.98,few clouds
427,Muros,ES,42.7762,-9.0603,66.83,77,1,5.88,clear sky
428,Santa Monica,US,34.0195,-118.4912,98.28,73,0,13.8,clear sky
429,Coahuayana,MX,18.7333,-103.6833,85.42,69,98,5.32,overcast clouds
430,Salinas,US,36.6777,-121.6555,81.41,67,40,14.97,scattered clouds
431,San Jose,US,37.3394,-121.895,90.84,47,0,11.5,clear sky
432,Zakupne,UA,49.1194,26.3376,68.67,46,66,6.06,broken clouds
433,Zhanaozen,KZ,43.3,52.8,72.21,58,80,15.14,light rain
434,Easley,US,34.8298,-82.6015,92.89,59,0,8.05,clear sky
435,Khorixas,NA,-20.3667,14.9667,61.41,43,0,5.01,clear sky
436,Lalmohan,BD,22.3384,90.7419,81.05,82,99,11.81,overcast clouds
437,Yershichi,RU,53.6725,32.7542,60.57,88,4,4.41,clear sky
438,Hervey Bay,AU,-25.2986,152.8535,64.33,76,9,14.58,clear sky
439,Mastic Beach,US,40.7668,-72.8521,88.0,69,12,11.01,few clouds
440,Lidkoping,SE,58.5052,13.1577,59.02,95,79,5.37,broken clouds
441,Balykshi,KZ,47.0667,51.8667,68.0,77,40,4.47,mist
442,Saint-Pierre,RE,-21.3393,55.4781,67.91,76,100,0.0,overcast clouds
443,Asau,RO,46.4333,26.4,73.96,71,48,3.6,scattered clouds
444,Puerto Escondido,MX,15.85,-97.0667,86.83,58,75,4.61,broken clouds
445,Aksu,CN,41.1231,80.2644,82.87,16,0,6.44,clear sky
446,Ishinomaki,JP,38.4167,141.3,77.0,77,81,2.98,broken clouds
447,Henties Bay,NA,-22.116,14.2845,55.2,90,0,6.08,clear sky
448,Springville,US,40.1652,-111.6107,99.63,24,40,4.61,scattered clouds
449,Blagodatnoye,RU,45.3997,42.5867,63.52,69,37,11.72,scattered clouds
450,Paramonga,PE,-10.6667,-77.8333,61.65,88,62,7.18,broken clouds
451,Namibe,AO,-15.1961,12.1522,63.03,89,30,0.34,scattered clouds
452,Maragogi,BR,-9.0122,-35.2225,75.34,82,40,12.82,scattered clouds
